Plot,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
16,520,-1,1,0,220.6247544,Pocillopora_dead,born,none
16,521,-1,2,0,3.97426176,Pocillopora_dead,born,none
16,522,-1,4,0,53.63479152,Pocillopora,born,none
16,523,-1,5,0,473.9750705,Pocillopora_dead,born,none
16,524,-1,7,0,583.5511447,Pocillopora_dead,born,none
16,525,-1,8,0,36.29618748,Pocillopora_dead,born,none
16,526,-1,10,0,2.36415348,Pocillopora_dead,born,none
16,527,-1,11,0,76.28276088,Pocillopora_dead,born,none
16,528,-1,12,0,903.7409144,Pocillopora_dead,born,none
16,529,-1,13,0,183.6854107,Pocillopora_dead,born,none
16,530,-1,20,0,26.79965352,Pocillopora_dead,born,none
16,531,-1,21,0,27.82870344,Pocillopora_dead,born,none
16,532,-1,22,0,121.6807175,Pocillopora_dead,born,none
16,533,-1,25,0,809.893336,Pocillopora_dead,born,none
16,534,-1,26,0,40.30149816,Pocillopora_dead,born,none
16,535,-1,27,0,332.5383688,Pocillopora_dead,born,none
16,536,-1,30,0,5.33597868,Pocillopora,born,none
16,537,-1,39,0,709.4988709,Pocillopora_dead,born,none
16,538,-1,41,0,10.1352546,Pocillopora_dead,born,none
16,539,-1,42,0,982.7914648,Pocillopora_dead,born,none
16,540,-1,47,0,743.0938024,Pocillopora_dead,born,none
16,541,-1,48,0,35.7949692,Pocillopora,born,none
16,542,-1,52,0,1369.79851,Pocillopora_dead,born,none
16,543,-1,55,0,20.44349604,Pocillopora_dead,born,none
16,544,-1,56,0,121.3746638,Pocillopora_dead,born,none
16,545,-1,58,0,393.7845812,Pocillopora_dead,born,none
16,546,-1,62,0,133.1333334,Pocillopora_dead,born,none
16,547,-1,64,0,903.5901054,Pocillopora_dead,born,none
16,548,-1,65,0,20.94471432,Pocillopora,born,none
16,549,-1,68,0,78.6424788,Pocillopora_dead,born,none
16,550,-1,70,0,365.1086858,Pocillopora_dead,born,none
16,551,-1,75,0,428.182349,Pocillopora_dead,born,none
16,552,-1,78,0,11.20866012,Pocillopora_dead,born,none
16,553,-1,83,0,113.8785674,Pocillopora,born,none
16,554,-1,87,0,460.6683905,Pocillopora_dead,born,none
16,555,-1,89,0,676.977345,Pocillopora_dead,born,none
16,556,-1,90,0,33.91429176,Pocillopora_dead,born,none
16,557,-1,91,0,5.37589872,Pocillopora_dead,born,none
16,558,-1,92,0,328.3556357,Pocillopora_dead,born,none
16,559,-1,96,0,10.29493476,Pocillopora,born,none
16,560,-1,97,0,536.7249378,Pocillopora_dead,born,none
16,561,-1,98,0,24.43106448,Pocillopora,born,none
16,562,-1,100,0,27.26095176,Pocillopora_dead,born,none
16,563,-1,104,0,536.0285549,Pocillopora_dead,born,none
16,564,-1,108,0,143.6633528,Pocillopora,born,none
16,565,-1,109,0,28.3210506,Pocillopora,born,none
16,566,-1,111,0,2.20447332,Pocillopora_dead,born,none
16,567,-1,112,0,18.98863236,Pocillopora,born,none
16,568,-1,116,0,1387.527444,Pocillopora_dead,born,none
16,569,-1,118,0,7.33198068,Pocillopora_dead,born,none
16,570,-1,119,0,485.5385754,Pocillopora_dead,born,none
16,571,-1,127,0,43.52171472,Pocillopora_dead,born,none
