Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2,-1,2,0.0,315.248052042,Pocillopora_dead,born,none
836,-1,6,0.0,732.6178988831999,Pocillopora_dead,born,none
837,-1,7,0.0,560.9011362768,Pocillopora_dead,born,none
838,-1,9,0.0,416.7255312792,Pocillopora_dead,born,none
839,-1,14,0.0,231.58478720519997,Pocillopora_dead,born,none
840,-1,16,0.0,510.2845944371999,Pocillopora_dead,born,none
21,-1,19,0.0,52.998287641199994,Pocillopora,born,none
841,-1,20,0.0,80.10397680119999,Pocillopora_dead,born,none
842,-1,23,0.0,30.2917185252,Pocillopora,born,none
843,-1,25,0.0,226.96348938120002,Pocillopora_dead,born,none
844,-1,28,0.0,495.6697400688,Pocillopora_dead,born,none
845,-1,29,0.0,491.6172173615999,Pocillopora_dead,born,none
52,-1,31,0.0,477.2467585511999,Pocillopora_dead,born,none
846,-1,40,0.0,37.6946821548,Pocillopora,born,none
62,-1,48,0.0,340.7718354084,Pocillopora_dead,born,none
847,-1,55,0.0,47.23055247239999,Pocillopora_dead,born,none
848,-1,56,0.0,23.9196597948,Pocillopora_dead,born,none
845,-1,58,0.0,50.7853969524,Pocillopora_dead,born,none
849,-1,62,0.0,59.9480085996,Pocillopora_dead,born,none
850,-1,66,0.0,441.6138861948,Pocillopora_dead,born,none
851,-1,69,0.0,133.3111115556,Pocillopora_dead,born,none
73,-1,70,0.0,178.0488293364,Pocillopora_dead,born,none
57,-1,75,0.0,362.49193518119995,Pocillopora_dead,born,none
852,-1,79,0.0,116.5500198324,Pocillopora_dead,born,none
62,-1,81,0.0,398.3469853176,Pocillopora_dead,born,none
853,-1,83,0.0,399.90667333319993,Pocillopora_dead,born,none
854,-1,84,0.0,298.7357994324,Pocillopora_dead,born,none
73,-1,85,0.0,664.86700665,Pocillopora_dead,born,none
633,-1,87,0.0,72.5499322812,Pocillopora_dead,born,none
855,-1,89,0.0,139.18104850319997,Pocillopora_dead,born,none
856,-1,90,0.0,167.921966124,Pocillopora_dead,born,none
857,-1,91,0.0,18.405207295199997,Pocillopora,born,none
858,-1,93,0.0,172.61436083759997,Pocillopora_dead,born,none
859,-1,94,0.0,285.87614952599995,Pocillopora_dead,born,none
860,-1,95,0.0,925.5037603679999,Pocillopora_dead,born,none
860,-1,96,0.0,107.2629886284,Pocillopora_dead,born,none
861,-1,97,0.0,685.1829428532,Pocillopora_dead,born,none
