Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
32,-1,0,0.0,322.6204566,Pocillopora,born,none
1014,-1,1,0.0,3.46860792,Pocillopora_dead,born,none
1015,-1,2,0.0,0.332667,Pocillopora_dead,born,none
1016,-1,4,0.0,424.82463012000005,Pocillopora_dead,born,none
1017,-1,8,0.0,13.590555840000002,Pocillopora,born,none
1018,-1,9,0.0,19.778162039999998,Pocillopora,born,none
1019,-1,10,0.0,23.49072576,Pocillopora_dead,born,none
1020,-1,11,0.0,0.4701693600000001,Pocillopora_dead,born,none
1021,-1,15,0.0,2.8032739200000005,Pocillopora_dead,born,none
1022,-1,18,0.0,60.93128772000001,Pocillopora_dead,born,none
1023,-1,19,0.0,19.547512920000003,Pocillopora_dead,born,none
1024,-1,21,0.0,14.349036600000002,Pocillopora,born,none
1025,-1,31,0.0,214.64118396,Pocillopora_dead,born,none
1026,-1,35,0.0,3.1936032000000005,Pocillopora_dead,born,none
1027,-1,37,0.0,6.55575768,Pocillopora,born,none
1028,-1,38,0.0,2.3952024000000005,Pocillopora,born,none
1029,-1,39,0.0,52.52146596000001,Pocillopora_dead,born,none
1030,-1,40,0.0,115.75924488000001,Pocillopora_dead,born,none
1031,-1,41,0.0,7.71343884,Pocillopora_dead,born,none
1032,-1,46,0.0,257.04513756000006,Pocillopora,born,none
1033,-1,47,0.0,72.29962800000001,Pocillopora_dead,born,none
1034,-1,48,0.0,13.257888840000003,Pocillopora_dead,born,none
1035,-1,51,0.0,16.699883400000004,Pocillopora_dead,born,none
1036,-1,54,0.0,20.11970016,Pocillopora,born,none
1037,-1,55,0.0,99.96865128000002,Pocillopora_dead,born,none
1038,-1,57,0.0,18.154747080000003,Pocillopora,born,none
1039,-1,58,0.0,291.9929148,Pocillopora_dead,born,none
1040,-1,61,0.0,48.671399879999996,Pocillopora,born,none
1041,-1,62,0.0,66.07653732,Pocillopora_dead,born,none
1042,-1,63,0.0,111.62973852,Pocillopora_dead,born,none
1043,-1,64,0.0,2.4750424800000004,Pocillopora_dead,born,none
1044,-1,70,0.0,2.2310866799999998,Pocillopora,born,none
1045,-1,71,0.0,15.49784664,Pocillopora,born,none
1046,-1,76,0.0,192.80492208000004,Pocillopora,born,none
1047,-1,81,0.0,84.830085,Pocillopora_dead,born,none
1048,-1,88,0.0,78.72675444000001,Pocillopora_dead,born,none
1049,-1,89,0.0,104.08485096000003,Pocillopora,born,none
1050,-1,92,0.0,5.46904548,Pocillopora_dead,born,none
1051,-1,93,0.0,73.20448224,Pocillopora_dead,born,none
1052,-1,96,0.0,7.571500920000001,Pocillopora_dead,born,none
1053,-1,97,0.0,10.13081904,Pocillopora_dead,born,none
1054,-1,100,0.0,3.73030596,Pocillopora,born,none
1055,-1,102,0.0,93.83427180000001,Pocillopora_dead,born,none
1056,-1,104,0.0,89.95315680000002,Pocillopora_dead,born,none
1057,-1,106,0.0,26.564568840000007,Pocillopora,born,none
1058,-1,107,0.0,17.072470440000004,Pocillopora_dead,born,none
1059,-1,108,0.0,2.8165806000000004,Pocillopora_dead,born,none
1060,-1,111,0.0,1.8407574000000004,Pocillopora_dead,born,none
1061,-1,112,0.0,4.094021880000001,Pocillopora_dead,born,none
1062,-1,115,0.0,93.5681382,Pocillopora_dead,born,none
1063,-1,119,0.0,54.468676800000004,Pocillopora_dead,born,none
1064,-1,121,0.0,21.441497039999998,Pocillopora_dead,born,none
1065,-1,126,0.0,61.67646180000001,Pocillopora,born,none
1066,-1,133,0.0,7.154558280000001,Pocillopora_dead,born,none
1067,-1,134,0.0,27.584747640000003,Pocillopora,born,none
1068,-1,135,0.0,13.555071360000001,Pocillopora_dead,born,none
1069,-1,140,0.0,2.4883491600000003,Pocillopora_dead,born,none
1070,-1,146,0.0,78.24771396000001,Pocillopora_dead,born,none
1071,-1,149,0.0,1.10445444,Pocillopora_dead,born,none
1072,-1,150,0.0,5.00774724,Pocillopora_dead,born,none
1073,-1,151,0.0,9.327982680000002,Pocillopora,born,none
1074,-1,152,0.0,1.4637348000000001,Pocillopora_dead,born,none
1075,-1,154,0.0,80.33686272000001,Pocillopora,born,none
1076,-1,155,0.0,4.14281304,Pocillopora_dead,born,none
1077,-1,157,0.0,95.40002448000001,Pocillopora,born,none
1078,-1,159,0.0,11.92722084,Pocillopora,born,none
1079,-1,162,0.0,77.83520688,Pocillopora_dead,born,none
1080,-1,167,0.0,13.639347,Pocillopora_dead,born,none
1081,-1,169,0.0,29.948901120000006,Pocillopora_dead,born,none
1082,-1,170,0.0,12.424003560000001,Pocillopora_dead,born,none
1083,-1,171,0.0,172.5876396,Pocillopora_dead,born,none
1084,-1,174,0.0,34.202603159999995,Pocillopora,born,none
1085,-1,178,0.0,6.04123272,Pocillopora_dead,born,none
1086,-1,182,0.0,65.07853632,Pocillopora,born,none
1087,-1,184,0.0,267.41547684,Pocillopora,born,none
