Time period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,610,-1,3,0,13.30400547,Pocillopora,born,none
2017-2018,611,-1,14,0,15.49912193,Pocillopora_dead,born,none
2017-2018,612,-1,15,0,19.7960402,Pocillopora,born,none
2017-2018,613,-1,16,0,3.674820481,Pocillopora,born,none
2017-2018,614,-1,17,0,21.48903488,Pocillopora_dead,born,none
2017-2018,615,-1,19,0,83.30778039,Pocillopora_dead,born,none
2017-2018,616,-1,23,0,109.5780811,Pocillopora,born,none
2017-2018,617,-1,30,0,19.76937886,Pocillopora_dead,born,none
2017-2018,618,-1,32,0,24.93723403,Pocillopora_dead,born,none
2017-2018,619,-1,33,0,50.37214628,Pocillopora_dead,born,none
2017-2018,620,-1,45,0,43.72903066,Pocillopora,born,none
2017-2018,621,-1,56,0,14.0416357,Pocillopora,born,none
2017-2018,622,-1,60,0,107.4585051,Pocillopora,born,none
2017-2018,623,-1,65,0,137.825764,Pocillopora,born,none
2017-2018,624,-1,68,0,4.652402713,Pocillopora,born,none
2017-2018,625,-1,72,0,85.24072707,Pocillopora_dead,born,none
2017-2018,626,-1,75,0,325.1305197,Pocillopora_dead,born,none
2017-2018,627,-1,80,0,38.03683594,Pocillopora_dead,born,none
2017-2018,628,-1,83,0,71.18576071,Pocillopora_dead,born,none
2017-2018,629,-1,87,0,54.59796766,Pocillopora,born,none
2017-2018,630,-1,89,0,38.92554706,Pocillopora_dead,born,none
2017-2018,631,-1,90,0,12.41529435,Pocillopora,born,none
2017-2018,632,-1,92,0,7.087471182,Pocillopora_dead,born,none
2017-2018,633,-1,97,0,31.08711498,Pocillopora_dead,born,none
2017-2018,634,-1,99,0,105.0234366,Pocillopora_dead,born,none
2017-2018,635,-1,105,0,108.0850464,Pocillopora,born,none
2017-2018,636,-1,108,0,11.21109078,Pocillopora,born,none
2017-2018,637,-1,115,0,12.14423745,Pocillopora,born,none
2017-2018,638,-1,122,0,55.424469,Pocillopora,born,none
2017-2018,639,-1,126,0,5.92770317,Pocillopora,born,none
2017-2018,640,-1,127,0,24.52398336,Pocillopora_dead,born,none
2017-2018,641,-1,129,0,41.0628973,Pocillopora,born,none
2017-2018,642,-1,132,0,17.42762506,Pocillopora,born,none
2017-2018,643,-1,143,0,28.22102162,Pocillopora_dead,born,none
2017-2018,644,-1,144,0,118.2741194,Pocillopora_dead,born,none
2017-2018,645,-1,146,0,85.10297685,Pocillopora_dead,born,none
2017-2018,94,-1,153,0,9.304805426,Pocillopora_dead,born,none
2017-2018,646,-1,154,0,69.19060425,Pocillopora_dead,born,none
2017-2018,86,-1,156,0,126.3658342,Pocillopora_dead,born,none
2017-2018,647,-1,157,0,87.00481865,Pocillopora_dead,born,none
2017-2018,648,-1,160,0,54.05585387,Pocillopora,born,none
2017-2018,649,-1,164,0,145.9485837,Pocillopora,born,none
2017-2018,650,-1,167,0,13.50840902,Pocillopora,born,none
2017-2018,651,-1,170,0,83.93876528,Pocillopora_dead,born,none
