Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
592,-1,0,0.0,945.0198565631998,Pocillopora,born,none
840,-1,3,0.0,339.44321228399997,Pocillopora_dead,born,none
841,-1,5,0.0,732.6178988831999,Pocillopora_dead,born,none
842,-1,6,0.0,560.8255958315999,Pocillopora_dead,born,none
843,-1,8,0.0,416.7255312792,Pocillopora_dead,born,none
599,-1,10,0.0,651.64742874,Pocillopora_dead,born,none
9,-1,11,0.0,144.88657389359997,Pocillopora,born,none
844,-1,12,0.0,231.58478720519997,Pocillopora_dead,born,none
845,-1,14,0.0,510.2845944371999,Pocillopora_dead,born,none
846,-1,18,0.0,80.10397680119999,Pocillopora_dead,born,none
603,-1,19,0.0,108.72047486519999,Pocillopora_dead,born,none
847,-1,21,0.0,30.2917185252,Pocillopora,born,none
602,-1,22,0.0,66.11122021679999,Pocillopora_dead,born,none
848,-1,23,0.0,226.96348938120002,Pocillopora_dead,born,none
849,-1,26,0.0,495.6697400688,Pocillopora_dead,born,none
0,-1,27,0.0,491.6172173615999,Pocillopora_dead,born,none
850,-1,29,0.0,477.2467585511999,Pocillopora_dead,born,none
29,-1,30,0.0,189.06440366879997,Pocillopora,born,none
605,-1,37,0.0,72.71878739399999,Pocillopora,born,none
851,-1,38,0.0,37.6946821548,Pocillopora,born,none
39,-1,39,0.0,22.973182451999996,Pocillopora,born,none
606,-1,40,0.0,27.3100927176,Pocillopora,born,none
852,-1,41,0.0,49.2079347144,Pocillopora_dead,born,none
853,-1,46,0.0,340.7718354084,Pocillopora_dead,born,none
609,-1,48,0.0,177.76888533359997,Pocillopora,born,none
610,-1,49,0.0,225.79483425839996,Pocillopora,born,none
854,-1,52,0.0,47.23055247239999,Pocillopora_dead,born,none
855,-1,53,0.0,23.9196597948,Pocillopora_dead,born,none
0,-1,55,0.0,50.7853969524,Pocillopora_dead,born,none
614,-1,56,0.0,84.2809190652,Pocillopora_dead,born,none
856,-1,59,0.0,59.9480085996,Pocillopora_dead,born,none
857,-1,63,0.0,441.6138861948,Pocillopora_dead,born,none
64,-1,65,0.0,31.287074979599996,Pocillopora,born,none
858,-1,66,0.0,133.3111115556,Pocillopora_dead,born,none
83,-1,67,0.0,178.0488293364,Pocillopora_dead,born,none
621,-1,75,0.0,221.60456132759998,Pocillopora_dead,born,none
859,-1,76,0.0,116.5500198324,Pocillopora_dead,born,none
620,-1,77,0.0,78.40653856199998,Pocillopora_dead,born,none
860,-1,78,0.0,398.3469853176,Pocillopora_dead,born,none
861,-1,80,0.0,399.90667333319993,Pocillopora_dead,born,none
862,-1,81,0.0,298.7357994324,Pocillopora_dead,born,none
83,-1,82,0.0,664.86700665,Pocillopora_dead,born,none
620,-1,84,0.0,72.5499322812,Pocillopora_dead,born,none
81,-1,85,0.0,70.55477581679999,Pocillopora,born,none
863,-1,86,0.0,139.18104850319997,Pocillopora_dead,born,none
864,-1,87,0.0,167.921966124,Pocillopora_dead,born,none
865,-1,88,0.0,18.405207295199997,Pocillopora,born,none
76,-1,89,0.0,66.2356397736,Pocillopora,born,none
866,-1,90,0.0,172.61436083759997,Pocillopora_dead,born,none
867,-1,91,0.0,285.87614952599995,Pocillopora_dead,born,none
868,-1,92,0.0,925.5037603679999,Pocillopora_dead,born,none
869,-1,93,0.0,107.2629886284,Pocillopora_dead,born,none
870,-1,94,0.0,685.1829428532,Pocillopora_dead,born,none
871,-1,99,0.0,51.585236960399996,Pocillopora_dead,born,none
872,-1,104,0.0,36.05501013839999,Pocillopora_dead,born,none
873,-1,105,0.0,234.50864678999994,Pocillopora_dead,born,none
874,-1,106,0.0,100.8198330084,Pocillopora,born,none
97,-1,107,0.0,141.51391519319998,Pocillopora,born,none
630,-1,108,0.0,73.7008131816,Acropora,born,none
633,-1,109,0.0,41.11177641119999,Pocillopora_dead,born,none
875,-1,111,0.0,337.69689493320004,Pocillopora_dead,born,none
876,-1,112,0.0,32.3446412124,Pocillopora,born,none
877,-1,113,0.0,61.409938391999994,Pocillopora_dead,born,none
631,-1,116,0.0,19.55164464,Pocillopora,born,none
634,-1,118,0.0,117.32764206239999,Pocillopora_dead,born,none
633,-1,120,0.0,38.885555055599994,Pocillopora_dead,born,none
878,-1,123,0.0,577.6755586667999,Pocillopora_dead,born,none
879,-1,125,0.0,1012.2108607907999,Pocillopora_dead,born,none
880,-1,126,0.0,65.15585576279999,Pocillopora_dead,born,none
116,-1,131,0.0,123.62860390319999,Pocillopora_dead,born,none
881,-1,132,0.0,51.131994289199994,Pocillopora_dead,born,none
642,-1,134,0.0,368.1752427936,Pocillopora,born,none
649,-1,135,0.0,740.8651380767999,Pocillopora_dead,born,none
882,-1,139,0.0,32.158011877199996,Pocillopora_dead,born,none
