Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
0,-1,1,0.0,315.248052042,Pocillopora_dead,born,none
839,-1,3,0.0,339.44321228399997,Pocillopora_dead,born,none
840,-1,5,0.0,732.6178988831999,Pocillopora_dead,born,none
841,-1,6,0.0,560.8255958315999,Pocillopora_dead,born,none
842,-1,8,0.0,416.7255312792,Pocillopora_dead,born,none
843,-1,12,0.0,231.58478720519997,Pocillopora_dead,born,none
844,-1,14,0.0,510.2845944371999,Pocillopora_dead,born,none
10,-1,17,0.0,52.998287641199994,Pocillopora,born,none
845,-1,18,0.0,80.10397680119999,Pocillopora_dead,born,none
846,-1,21,0.0,30.2917185252,Pocillopora,born,none
847,-1,23,0.0,226.96348938120002,Pocillopora_dead,born,none
848,-1,26,0.0,495.6697400688,Pocillopora_dead,born,none
0,-1,27,0.0,491.6172173615999,Pocillopora_dead,born,none
849,-1,29,0.0,477.2467585511999,Pocillopora_dead,born,none
850,-1,30,0.0,189.06440366879997,Pocillopora,born,none
851,-1,38,0.0,37.6946821548,Pocillopora,born,none
852,-1,41,0.0,49.2079347144,Pocillopora_dead,born,none
853,-1,46,0.0,340.7718354084,Pocillopora_dead,born,none
854,-1,52,0.0,47.23055247239999,Pocillopora_dead,born,none
855,-1,53,0.0,23.9196597948,Pocillopora_dead,born,none
856,-1,54,0.0,60.103533045599995,Pocillopora,born,none
0,-1,55,0.0,50.7853969524,Pocillopora_dead,born,none
857,-1,59,0.0,59.9480085996,Pocillopora_dead,born,none
858,-1,63,0.0,441.6138861948,Pocillopora_dead,born,none
859,-1,66,0.0,133.3111115556,Pocillopora_dead,born,none
84,-1,67,0.0,178.0488293364,Pocillopora_dead,born,none
58,-1,72,0.0,362.49193518119995,Pocillopora_dead,born,none
860,-1,76,0.0,116.5500198324,Pocillopora_dead,born,none
861,-1,78,0.0,398.3469853176,Pocillopora_dead,born,none
862,-1,80,0.0,399.90667333319993,Pocillopora_dead,born,none
863,-1,81,0.0,298.7357994324,Pocillopora_dead,born,none
84,-1,82,0.0,664.86700665,Pocillopora_dead,born,none
618,-1,84,0.0,72.5499322812,Pocillopora_dead,born,none
864,-1,86,0.0,139.18104850319997,Pocillopora_dead,born,none
865,-1,87,0.0,167.921966124,Pocillopora_dead,born,none
866,-1,88,0.0,18.405207295199997,Pocillopora,born,none
867,-1,90,0.0,172.61436083759997,Pocillopora_dead,born,none
868,-1,91,0.0,285.87614952599995,Pocillopora_dead,born,none
869,-1,92,0.0,925.5037603679999,Pocillopora_dead,born,none
870,-1,93,0.0,107.2629886284,Pocillopora_dead,born,none
871,-1,94,0.0,685.1829428532,Pocillopora_dead,born,none
872,-1,99,0.0,51.585236960399996,Pocillopora_dead,born,none
873,-1,104,0.0,36.05501013839999,Pocillopora_dead,born,none
874,-1,105,0.0,234.50864678999994,Pocillopora_dead,born,none
875,-1,106,0.0,100.8198330084,Pocillopora,born,none
632,-1,109,0.0,41.11177641119999,Pocillopora_dead,born,none
876,-1,111,0.0,337.69689493320004,Pocillopora_dead,born,none
877,-1,112,0.0,32.3446412124,Pocillopora,born,none
878,-1,113,0.0,61.409938391999994,Pocillopora_dead,born,none
879,-1,123,0.0,577.6755586667999,Pocillopora_dead,born,none
880,-1,125,0.0,1012.2108607907999,Pocillopora_dead,born,none
881,-1,126,0.0,65.15585576279999,Pocillopora_dead,born,none
882,-1,132,0.0,51.131994289199994,Pocillopora_dead,born,none
133,-1,136,0.0,258.88154925599997,Pocillopora,born,none
883,-1,139,0.0,32.158011877199996,Pocillopora_dead,born,none
884,-1,143,0.0,133.040054664,Pocillopora_dead,born,none
885,-1,148,0.0,129.3030244044,Pocillopora_dead,born,none
886,-1,149,0.0,351.3608284032,Pocillopora_dead,born,none
887,-1,158,0.0,38.5967239416,Pocillopora_dead,born,none
888,-1,159,0.0,82.27687548959999,Pocillopora,born,none
889,-1,162,0.0,72.37663361279999,Pocillopora_dead,born,none
890,-1,163,0.0,28.283231393999994,Pocillopora_dead,born,none
58,-1,165,0.0,331.0093437552,Pocillopora_dead,born,none
186,-1,168,0.0,79.384120794,Pocillopora_dead,born,none
891,-1,169,0.0,94.0434107184,Pocillopora_dead,born,none
892,-1,173,0.0,95.14096895159999,Pocillopora_dead,born,none
893,-1,178,0.0,245.5686566784,Pocillopora_dead,born,none
894,-1,185,0.0,119.7671540868,Pocillopora_dead,born,none
895,-1,186,0.0,250.77206028599997,Pocillopora,born,none
896,-1,187,0.0,331.6847642064,Pocillopora_dead,born,none
897,-1,188,0.0,1031.393690316,Pocillopora_dead,born,none
