Period,Blob1,Blob2,Area1,Area2,Growth/Shrink
2017-2018,3,5,53.98920054,70.43924337,Growth
2017-2018,4,7;22,295.1143016,250.8076087,Shrink
2017-2018,5,6,401.9551525,591.6327668,Growth
2017-2018,8,14,154.5424202,189.0199681,Growth
2017-2018,9,12;28,209.9757763,301.819627,Growth
2017-2018,11,15,120.4692359,196.2985122,Growth
2017-2018,13,18,218.7873471,317.3631845,Growth
2017-2018,14,16,191.6283353,240.5607695,Growth
2017-2018,15,21,3.474860479,458.5305024,Growth
2017-2018,21,29,132.9111916,166.9754888,Growth
2017-2018,22,25,46.51958358,63.42286908,Growth
2017-2018,24,30,338.7633483,401.6752085,Growth
2017-2018,25,31,8.051722747,12.13535034,Growth
2017-2018,28,32,360.8300454,404.7812538,Growth
2017-2018,29,19,203.0127247,422.1733304,Growth
2017-2018,30,33,358.9904134,591.4061455,Growth
2017-2018,31,37,145.0820903,125.0283239,Shrink
2017-2018,36,36,28.04772295,25.6304287,Shrink
2017-2018,37,38,113.2351274,143.6112734,Growth
2017-2018,38,41,47.08391514,73.99853141,Growth
2017-2018,39,42,584.9496592,684.0365055,Growth
2017-2018,40,40,0.670976896,30.26061364,Growth
2017-2018,43,47;90,582.7101072,580.8038218,Shrink
2017-2018,44,48,56.40205123,65.64020332,Growth
2017-2018,45,49,204.8523567,247.43495,Growth
2017-2018,46,53,29.92290341,8.722699643,Shrink
2017-2018,50,52,318.2296778,321.9489339,Growth
2017-2018,51,54,65.88015533,32.94007766,Shrink
2017-2018,54,60,145.775285,143.7890157,Shrink
2017-2018,56,61,18.22302152,44.58219333,Growth
2017-2018,57,67,97.98484454,53.82034543,Shrink
2017-2018,58,63,101.6330037,117.6475781,Growth
2017-2018,59,64,152.0940211,323.3664281,Growth
2017-2018,62,71,64.89812954,92.07491559,Growth
2017-2018,63,70,136.5549071,176.2802942,Growth
2017-2018,65,72;102,271.1457627,351.6096675,Growth
2017-2018,66,79,155.1600744,138.105708,Shrink
2017-2018,68,64,145.7308495,323.3664281,Growth
2017-2018,69,78,28.63871584,18.99175663,Shrink
2017-2018,73,80,225.7948343,267.2221031,Growth
2017-2018,76,87,315.2302778,953.2626522,Growth
2017-2018,79,94,245.5908745,231.0915525,Shrink
2017-2018,81,89,52.30509297,123.6019426,Growth
2017-2018,83,97,145.8819303,137.3725214,Shrink
2017-2018,84,96,86.82263287,126.2458582,Growth
2017-2018,85,95,247.7859909,385.8783683,Growth
2017-2018,86,98,164.6470656,218.8095649,Growth
2017-2018,87,103;107,962.3452798,1097.660435,Growth
2017-2018,88,101,112.5908118,114.3771211,Growth
2017-2018,89,105;116,176.0092373,191.4150446,Growth
2017-2018,91,87,451.8918303,953.2626522,Growth
2017-2018,92,106,38.34788483,216.8721746,Growth
2017-2018,93,110,404.3102369,452.6205734,Growth
2017-2018,95,113,79.0730719,115.6213167,Growth
2017-2018,96,125,351.7607484,376.7646358,Growth
2017-2018,99,118,87.76466666,115.1502998,Growth
2017-2018,101,122,138.3812085,196.1874233,Growth
2017-2018,102,127,167.4376186,200.3465913,Growth
2017-2018,103,124,61.35661572,81.68588259,Growth
2017-2018,107,119,69.78159714,486.7559675,Growth
2017-2018,108,130,56.35317212,64.58708065,Growth
2017-2018,110,119,328.2987748,486.7559675,Growth
2017-2018,111,134,47.48383514,67.23543978,Growth
2017-2018,112,136,147.7082317,161.6165607,Growth
2017-2018,114,140,71.61234205,76.02479276,Growth
2017-2018,115,130;144,37.85465016,677.3089623,Growth
2017-2018,122,143,347.6060239,496.7273063,Growth
2017-2018,123,147,83.08115905,99.70894411,Growth
2017-2018,125,144,521.7089759,612.7218817,Growth
2017-2018,126,146,205.9365843,249.9766638,Growth
2017-2018,131,151,627.4344943,826.8346083,Growth
2017-2018,134,155,213.8949924,242.6092486,Growth
2017-2018,135,160,37.8901986,61.92539084,Growth
2017-2018,136,159,25.79484026,61.27218817,Growth
2017-2018,138,167,251.625223,529.1252702,Growth
2017-2018,143,164,30.0739843,53.93587787,Growth
2017-2018,144,170,146.4418184,165.2113972,Growth
2017-2018,145,175,76.94905233,80.91270392,Growth
2017-2018,146,171,177.8933049,316.2611827,Growth
2017-2018,147,171,80.87715548,316.2611827,Growth
2017-2018,148,173,3.297118255,100.6420908,Growth
2017-2018,149,173,12.05092279,100.6420908,Growth
2017-2018,150,177,82.06358482,115.248058,Growth
2017-2018,156,182,5.501121833,131.0760031,Growth
2017-2018,163,174,29.37634607,104.5479762,Growth
2017-2018,164,190,114.8747994,133.2711196,Growth
2017-2018,169,197;215,244.8932362,258.2372337,Growth
2017-2018,170,224;193,438.6278168,623.6130365,Growth
2017-2018,172,189,177.5600382,293.3546536,Growth
2017-2018,173,167,256.5753439,529.1252702,Growth
2017-2018,174,205,206.309843,217.3742964,Growth
2017-2018,177,209,36.15721192,43.02250532,Growth
2017-2018,178,207,340.1852861,378.7597922,Growth
2017-2018,180,204,237.6680148,390.5663195,Growth
2017-2018,182,212,173.2764506,201.1419878,Growth
2017-2018,185,214,108.6582651,152.4139571,Growth
2017-2018,186,228,165.0692034,155.0534291,Shrink
2017-2018,187,221,205.3367043,357.9284036,Growth
2017-2018,188,229,103.2015788,117.2476581,Growth
2017-2018,189,227,81.66366482,127.5922555,Growth
2017-2018,191,226;232,81.64144704,391.930491,Growth
2017-2018,192,243,344.695495,792.090447,Growth
2017-2018,194,232,213.5039595,257.7262248,Growth
2017-2018,196,230,747.9392786,975.6448418,Growth
2017-2018,199,238,157.1196825,371.6189984,Growth
2017-2018,200,237,794.0056195,896.5717699,Growth
2017-2018,203,222,2.052922687,211.7976341,Growth
2017-2018,204,242,192.0771344,261.3877146,Growth
2017-2018,205,241,114.5370891,154.1113953,Growth
2017-2018,206,240,105.7610668,133.8487818,Growth
2017-2018,208,246,89.44877423,132.0358111,Growth
2017-2018,209,263,114.2349274,123.0998208,Growth
2017-2018,210,259,90.3419289,128.1921355,Growth
2017-2018,211,250;260,433.3488728,501.9573712,Growth
2017-2018,215,256,55.77995345,793.050255,Growth
2017-2018,216,238,164.2960248,371.6189984,Growth
2017-2018,217,257,70.1459687,96.80285875,Growth
2017-2018,218,256,458.1394695,793.050255,Growth
2017-2018,219,261,17.73867396,24.75504825,Growth
2017-2018,220,258,440.4230133,578.7331249,Growth
2017-2018,221,243,64.62262909,792.090447,Growth
2017-2018,223,267,204.0702909,233.686589,Growth
2017-2018,225,243,255.7577297,792.090447,Growth
2017-2018,226,243,81.73031815,792.090447,Growth
2017-2018,227,269;284,478.9353097,555.0311993,Growth
2017-2018,229,256,91.53724536,793.050255,Growth
2017-2018,230,274,246.2174158,300.1177452,Growth
2017-2018,231,277,37.01481815,157.1996665,Growth
2017-2018,232,276,128.2721195,156.8397385,Growth
2017-2018,234,275,236.7570859,344.1667119,Growth
2017-2018,235,278,702.4905919,979.5107351,Growth
2017-2018,236,282,377.7999842,481.2770635,Growth
2017-2018,238,285,48.20369115,45.90192935,Shrink
2017-2018,242,287,427.5589198,457.6506784,Growth
2017-2018,243,289,554.2224722,666.8843809,Growth
2017-2018,245,288,348.3436542,454.7490365,Growth
2017-2018,246,292,125.9792448,122.077803,Shrink
2017-2018,250,296;297,164.6959448,101.4819228,Shrink
2017-2018,252,274,20.56477532,300.1177452,Growth
2017-2018,257,302,97.27387564,506.0010068,Growth
2017-2018,258,302,280.5305521,506.0010068,Growth
2017-2018,260,308,257.1796675,359.7724792,Growth
2017-2018,261,311,354.9823262,786.8825999,Growth
2017-2018,262,310,63.1606993,85.86726841,Growth
2017-2018,263,312,145.0065499,230.2828254,Growth
2017-2018,264,316;351,743.5223843,923.8818626,Growth
2017-2018,265,318;335,161.6654398,178.0132809,Growth
2017-2018,266,320,236.7215375,258.4416373,Growth
2017-2018,267,321,170.9746888,209.189267,Growth
2017-2018,268,328;322,56.64200323,801.2752765,Growth
2017-2018,269,323,154.6224042,168.2641199,Growth
2017-2018,271,325,88.61782933,203.399314,Growth
2017-2018,273,333,125.8459381,141.376165,Growth
2017-2018,274,329,157.524046,1034.090929,Growth
2017-2018,275,334,138.3456601,140.096421,Growth
2017-2018,276,308,19.51165264,359.7724792,Growth
2017-2018,277,329,239.4676548,1034.090929,Growth
2017-2018,278,327,325.7392868,481.2859506,Growth
2017-2018,280,328,770.1792744,781.6525349,Growth
2017-2018,281,311,245.1287447,786.8825999,Growth
2017-2018,283,332,555.9732331,779.1597002,Growth
2017-2018,284,337;339,229.8251392,263.6805893,Growth
2017-2018,286,335,3.954764484,59.77470993,Growth
2017-2018,287,342,32.62014166,57.10413302,Growth
2017-2018,292,343,37.05481015,75.07387186,Growth
2017-2018,294,345,68.77291002,84.05429773,Growth
2017-2018,296,346,37.14368126,59.64584682,Growth
2017-2018,300,358,340.2252781,396.5073533,Growth
2017-2018,301,352,71.82118916,113.9105478,Growth
2017-2018,302,357,335.6439722,473.7008012,Growth
2017-2018,303,356,391.0284492,520.158175,Growth
2017-2018,304,360,168.5307332,170.7347368,Growth
2017-2018,305,353,2.328423134,68.76402291,Growth
2017-2018,307,361,46.97282625,87.73356177,Growth
2017-2018,313,372,584.4297632,683.5832628,Growth
2017-2018,314,370,50.28327517,77.90441678,Growth
2017-2018,315,371,274.4695423,299.2290341,Growth
2017-2018,316,376,56.58423701,46.7373178,Shrink
2017-2018,317,373,151.6541091,194.3877833,Growth
2017-2018,319,374,182.5190463,257.2018852,Growth
2017-2018,320,379,166.4911412,327.5478139,Growth
2017-2018,323,375,586.171637,822.2444153,Growth
2017-2018,324,380,131.8936173,168.5707252,Growth
2017-2018,329,393,145.6730832,166.7844159,Growth
2017-2018,330,390,58.37498992,102.9127477,Growth
2017-2018,332,396,300.0555354,315.1147454,Growth
2017-2018,334,379,58.15281214,327.5478139,Growth
2017-2018,335,383,140.0742032,275.3893583,Growth
2017-2018,336,395,130.3650342,145.4997846,Growth
2017-2018,337,394;411,314.5593009,396.8139586,Growth
