Blob1,Blob2,Area1,Area2
1,1,227.08346538239996,315.248052042
2,1,13.3040054664,315.248052042
6,5,591.6327668064,732.6178988831999
7,8,72.69656961599999,416.7255312792
15,12,196.29851218559998,231.58478720519997
19,14,422.17333044479994,510.2845944371999
21,10,458.530502364,651.64742874
22,8,178.11103911479998,416.7255312792
23,19,18.547401074399996,108.72047486519999
28,23,178.87088712239998,226.96348938120002
30,26,401.675208462,495.6697400688
32,27,404.78125382639996,491.6172173615999
34,19,26.2969620408,108.72047486519999
39,31,43.72903065959999,196.2363024072
56,46,95.20317872999998,340.7718354084
61,53,44.582193334799996,23.9196597948
62,46,4.6524027132,340.7718354084
65,46,9.526983206399999,340.7718354084
72,63,340.398576738,441.6138861948
75,66,105.89881705919998,133.3111115556
76,46,3.6659333699999994,340.7718354084
85,72,72.785440728,362.49193518119995
89,76,123.6019425696,116.5500198324
90,78,36.894842146799995,398.3469853176
92,77,59.75693570879999,78.40653856199998
94,81,231.0915525336,298.7357994324
98,78,218.80956485519997,398.3469853176
99,86,108.08504641439998,139.18104850319997
100,83,81.8325199296,277.40228899679994
102,63,11.2110907788,441.6138861948
103,87;93,229.30968673799998,275.1849547524
105,90,135.99057558239997,172.61436083759997
106,91,216.87217461359995,285.87614952599995
107,92,868.3507482408,925.5037603679999
108,75,15.530226821999998,221.60456132759998
110,94,452.62057341599996,685.1829428532
114,75,2.8127706947999997,221.60456132759998
115,97,375.991457094,466.7155317792
116,99,55.424468998799995,51.585236960399996
120,91,5.927703170399999,285.87614952599995
123,104,41.062897299599996,36.05501013839999
127,105,200.34659133719998,234.50864678999994
131,109,43.94232132839999,41.11177641119999
132,111,295.67863317959996,337.69689493320004
135,113,63.5295144132,61.409938391999994
136,115,161.6165607276,291.52390869359994
143,123,496.72730630159987,577.6755586667999
144,117,612.721881684,845.0309684519999
151,125,826.83460827,1012.2108607907999
157,126,54.05585387399999,65.15585576279999
159,131,61.2721881684,123.62860390319999
167,135,529.1252701812,740.8651380767999
186,148,82.7123439384,129.3030244044
189,149,293.35465360079996,351.3608284032
191,151,520.1448443136,707.8939555247999
199,162,94.00341871799999,72.37663361279999
202,160,582.639010272,750.716500842
208,165;195,290.4219069048,418.7740104108
221,187,357.92840357999995,331.6847642064
222,178,211.79763411839997,245.5686566784
226,185,134.2042662312,119.7671540868
230,188,975.6448417583998,1031.393690316
232,189,257.72622479999995,325.23716503079993
237,194,896.5717698563999,965.6512852139999
242,198,261.3877146144,285.6273104124
243,199,792.0904470336,851.4385756272
244,206,97.9537396464,108.83156375519998
256,208,793.0502550431999,954.342436212
258,212,578.7331248995999,700.1888301143999
269,223,359.4036640392,519.9804327564
272,228,10.846719219599999,32.5623754368
283,236,141.30951163559996,208.16724919319998
288,241,454.74903654839994,525.9970070388
289,243,666.8843808923999,733.96429623
290,239,22.284431333999997,62.72078729399999
296,239;251,13.112932575599999,226.32361737479997
297,251,88.3689902172,163.60283008079998
302,258,506.00100683880004,532.3957271027999
309,265,137.60802982079997,229.65628407479994
313,271,23.586393124799997,72.8565376176
315,273,54.0736280964,83.8543377276
322,278,19.6227415296,25.021661583599997
327,279,481.2859505915999,619.2716826384
328,284,781.6525349291999,830.2828074155998
