Blob1,Blob2,Area1,Area2 (live),Area2 (dead)
16,9;18,240.56076951719996,217.11657017159996,80.10397680119999
20,16;22;24,186.9314969808,135.70174446839997,66.11122021679999
33,29;30;54,591.4061454708,249.16793671439996,477.2467585511999
43,37;41,104.63240371319998,72.71878739399999,49.2079347144
47,42;52,543.9089796623999,542.0560169771999,47.23055247239999
52,45;55,321.9489338868,336.62599803359996,50.7853969524
57,47;56,295.90969807079995,334.72415623679996,84.2809190652
63,57;59;68,117.64757806559997,56.21986545119999,59.9480085996
64,58;67,323.36642812319997,182.45683649159997,178.0488293364
73,62;75,222.73322444999997,260.4856728276,221.60456132759998
87,74;82,953.2626522011998,344.45109944519993,664.86700665
95,80;106,385.87836830399993,100.8198330084,399.90667333319993
97,84;89,137.372521374,66.2356397736,72.5499322812
101,78;85,114.377121144,70.55477581679999,398.3469853176
111,75;96,24.4884349116,20.2715006472,221.60456132759998
130,117;112,64.58708064599999,32.3446412124,845.0309684519999
156,130;132;141,62.480835291599995,25.790396702399995,51.131994289199994
171,136;143,316.2611827188,258.88154925599997,133.040054664
172,140;163,224.7283809144,229.91401029959994,28.283231393999994
192,156;158,169.9926630336,198.338104206,38.5967239416
204,168;174,390.56631946199997,263.39175818999996,79.384120794
207,167;173,378.75979223279995,332.94229044119993,95.14096895159999
212,169;171;172;190,201.1419877896,127.1923354944,94.0434107184
224,180;192,424.6172860247999,36.18387325079999,516.9854762819999
234,191;205;219,404.21247870959996,453.46040542439994,27.812214500399996
238,193;213,371.6189983836,169.7793723648,269.412776028
241,197;211,154.11139531919997,129.9473399664,47.7771098112
251,200;215,114.40378247759998,66.91994733599999,185.86948719240002
270,225;228,63.15625574279999,211.02445544399998,32.5623754368
277,233;230,157.1996664612,72.252214056,288.17346777119997
278,229;275,979.5107351303999,45.5153400108,1131.6358610963998
287,240;250;256,457.6506783552,407.92729119119997,97.7315618664
293,249;252;259,165.86904343679998,178.4443057848,69.75493580879998
295,248;260,417.85863795719996,408.14946897119995,90.42635646
307,262;266;270,180.60831736199998,86.560463088,134.0576288964
311,267;289,786.8825998703999,337.7102256,548.1747930383999
316,272;287,880.6105181411999,384.58973717999993,825.5726384796
321,277;281,209.18926698119998,246.03078646079996,31.487034981599994
334,290;292;294,140.0964209568,93.77679738239999,31.233752312399996
340,295;305,300.4687861164,324.93055969439996,34.24203945359999
342,298;299,57.1041330156,34.82414523719999,17.263213506
351,287;306,43.2713444328,38.7966839436,825.5726384796
358,312;323,396.50735329919996,351.96515196479993,79.1219510136
379,330;342,327.54781394279996,395.97857018279996,18.3385539612
383,337;341,275.38935831,237.3791837076,83.73880528199999
385,333;336,100.07775922319999,115.77684115799998,25.972582481999996
394,340;358,208.8071211996,254.85124432679996,28.3987638396
396,346;345,315.114745374,306.96082084799997,103.27711925519999
402,352;379,254.6246229912,232.5712565484,23.6308286808
404,362;351,81.0371234772,76.4247127644,1357.328493576
408,359;376,141.0251240772,110.36014688159999,8.220577859999999
411,360;368;370,188.00683743599998,224.03074268519998,46.83063246839999
417,362;364,194.25003305399997,202.3728526908,1357.328493576
424,373;378,185.63842230119997,245.26649489759998,11.5043654484
428,349;372,224.3817835776,301.6907639064,133.106707998
431,380;404,404.096946264,324.6195108024,119.78937186479999
432,381;384;395;400,347.26831369559994,311.982038676,68.19080423759999
436,367;386,47.31942358439999,33.8643372276,491.968258254
439,385;402,362.7407742947999,388.46451766319996,121.0602287664
443,389;405;413,153.391539312,132.00470620919998,36.632672366399994
447,390;410,351.2675137356,427.66112161079997,6.167655172799999
460,412;422,155.30671177559998,191.75719836239998,32.158011877199996
479,426;424,332.0402486544,376.7379744348,39.2943621708
481,425;436,296.25629540759996,356.3864897867999,52.571706303599996
485,429;440,121.50014077079999,118.73180563199999,59.174829925199994
495,430;447,57.033036126,4.3058053763999995,416.6277730559999
498,441;446,201.9773762424,151.52524595999998,75.12719452919998
506,445;448,47.10613291559999,40.9606955208,589.4021018952
514,428;460,143.6557089924,90.36859023719998,338.6389287204
519,452;475,480.7349496971999,89.2088222256,598.6047055427999
528,463;465,103.36154681159998,137.06591603759998,179.94622757759996
540,458;468,59.010418368,79.228596348,327.2278779396
551,480;490,80.65053413999999,55.24228321919999,34.0865150076
564,493;495,144.104508108,58.539401474399995,157.15967446079998
568,512;500;505,498.4025267627999,531.1204266456,70.66142115119999
569,498;508,543.7934472167999,597.3205179743999,14.890354815599997
576,506;509;517,207.7051194108,171.1924230456,69.59496780719999
582,511;520,166.72220611199998,145.56199434479998,54.81570188159999
586,516;524,430.3894647492,466.9288224479999,21.9600517752
595,504;528,80.41058213759999,34.0865150076,413.86388147279996
597,526;529,83.31666750000001,21.671220661199996,78.9308781228
599,523;531,238.85000061120002,327.0812406048,37.3303105956
608,535;549,283.05893527559994,280.7127379188,22.2711006672
619,513;545,61.86318106319999,67.5109402308,660.0990714912
631,555;556,228.28766894999998,309.7291559868,66.3778335528
634,563;574,503.5303899252,377.08457177159994,207.34963496279997
644,571;570,428.2343402832,418.75623618839995,67.32431089560001
650,575;582,106.55201973239998,108.3294419724,27.563375386799997
665,586;593;605;609,257.13523190519993,285.8583753035999,88.27123199399999
667,595;589,268.4529680184,262.20977240039997,11.246639223599997
668,587;591;592,194.90323572719998,184.75415473679996,140.6651960736
678,598;608,318.9228725232,330.2139473028,75.37159008719999
684,599;603,9.526983206399999,40.569662627999996,345.3353670096
690,610;612,116.73220561199997,69.31946735999999,41.022905299200005
709,628;637;643,283.69880728199996,287.4936037644,196.8317388576
713,631;639,145.1620743408,91.53724536,37.2903185952
727,641;655,373.94297796239994,446.7906284688,25.714856257199997
730,644;652,124.72171858079999,66.6133419996,76.84685054639999
747,660;664,308.9693079792,320.2381649808,14.659289924399998
758,669;678,106.05878506079998,62.0231490648,46.910616469199994
767,683;679,46.9372778028,28.905329178000002,493.03026804239994
781,691;699;700,274.9627769724,256.35760967519997,42.880311539999994
803,716;717,99.29124988199999,69.052854024,61.641003283199986
806,721;722,110.40902599319999,85.9694701932,27.798883833599998
