Period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,627,-1,2,0,13.30400547,Pocillopora,born,none
2017-2018,628,-1,8,0,15.49912193,Pocillopora_dead,born,none
2017-2018,629,-1,9,0,19.7960402,Pocillopora,born,none
2017-2018,630,-1,10,0,3.674820481,Pocillopora,born,none
2017-2018,631,-1,11,0,21.48903488,Pocillopora_dead,born,none
2017-2018,632,-1,13,0,83.30778039,Pocillopora_dead,born,none
2017-2018,633,-1,24,0,19.76937886,Pocillopora_dead,born,none
2017-2018,632,-1,26,0,24.93723403,Pocillopora_dead,born,none
2017-2018,632,-1,27,0,50.37214628,Pocillopora_dead,born,none
2017-2018,634,-1,39,0,43.72903066,Pocillopora,born,none
2017-2018,635,-1,55,0,107.4585051,Pocillopora,born,none
2017-2018,636,-1,59,0,137.825764,Pocillopora,born,none
2017-2018,637,-1,62,0,4.652402713,Pocillopora,born,none
2017-2018,638,-1,66,0,85.24072707,Pocillopora_dead,born,none
2017-2018,639,-1,69,0,325.1305197,Pocillopora_dead,born,none
2017-2018,58,-1,74,0,38.03683594,Pocillopora_dead,born,none
2017-2018,640,-1,77,0,71.18576071,Pocillopora_dead,born,none
2017-2018,65,-1,78,0,18.99175663,Pocillopora,born,none
2017-2018,641,-1,81,0,54.59796766,Pocillopora,born,none
2017-2018,642,-1,83,0,38.92554706,Pocillopora_dead,born,none
2017-2018,643,-1,84,0,12.41529435,Pocillopora,born,none
2017-2018,644,-1,86,0,7.087471182,Pocillopora_dead,born,none
2017-2018,645,-1,91,0,31.08711498,Pocillopora_dead,born,none
2017-2018,58,-1,93,0,105.0234366,Pocillopora_dead,born,none
2017-2018,646,-1,99,0,108.0850464,Pocillopora,born,none
2017-2018,647,-1,102,0,11.21109078,Pocillopora,born,none
2017-2018,648,-1,109,0,12.14423745,Pocillopora,born,none
2017-2018,649,-1,116,0,55.424469,Pocillopora,born,none
2017-2018,650,-1,120,0,5.92770317,Pocillopora,born,none
2017-2018,651,-1,121,0,24.52398336,Pocillopora_dead,born,none
2017-2018,652,-1,126,0,17.42762506,Pocillopora,born,none
2017-2018,653,-1,127,0,24.8794678,Pocillopora,born,none
2017-2018,654,-1,138,0,28.22102162,Pocillopora_dead,born,none
2017-2018,655,-1,139,0,118.2741194,Pocillopora_dead,born,none
2017-2018,656,-1,148,0,11.29107478,Pocillopora_dead,born,none
2017-2018,58,-1,149,0,9.304805426,Pocillopora_dead,born,none
2017-2018,657,-1,150,0,19.62718509,Pocillopora_dead,born,none
2017-2018,658,-1,152,0,5.652202723,Acropora,born,none
2017-2018,58,-1,153,0,126.3658342,Pocillopora_dead,born,none
2017-2018,659,-1,154,0,87.00481865,Pocillopora_dead,born,none
2017-2018,660,-1,157,0,54.05585387,Pocillopora,born,none
2017-2018,661,-1,165,0,13.50840902,Pocillopora,born,none
2017-2018,662,-1,168,0,83.93876528,Pocillopora_dead,born,none
2017-2018,663,-1,176,0,57.50849658,Pocillopora_dead,born,none
2017-2018,664,-1,179,0,54.8334761,Pocillopora,born,none
2017-2018,665,-1,183,0,35.60176747,Pocillopora_dead,born,none
2017-2018,666,-1,184,0,16.51669617,Pocillopora_dead,born,none
2017-2018,667,-1,186,0,82.71234394,Pocillopora,born,none
2017-2018,58,-1,187,0,61.03223617,Pocillopora_dead,born,none
2017-2018,668,-1,195,0,33.526627,Pocillopora_dead,born,none
2017-2018,58,-1,196,0,64.67595176,Pocillopora_dead,born,none
2017-2018,669,-1,198,0,62.19644773,Pocillopora,born,none
2017-2018,670,-1,201,0,23.97298246,Pocillopora_dead,born,none
2017-2018,135,-1,203,0,2.839432028,Pocillopora,born,none
2017-2018,671,-1,210,0,47.47939159,Pocillopora_dead,born,none
2017-2018,181,-1,216,0,76.89572966,Pocillopora_dead,born,none
2017-2018,672,-1,217,0,70.02154914,Pocillopora_dead,born,none
2017-2018,673,-1,219,0,57.47294813,Pocillopora,born,none
2017-2018,90,-1,223,0,40.52078352,Pocillopora_dead,born,none
2017-2018,674,-1,233,0,101.9307219,Pocillopora_dead,born,none
2017-2018,675,-1,235,0,9.758048098,Pocillopora_dead,born,none
2017-2018,676,-1,239,0,18.52073974,Pocillopora_dead,born,none
2017-2018,677,-1,248,0,31.64255943,Pocillopora_dead,born,none
2017-2018,678,-1,252,0,20.99580021,Pocillopora_dead,born,none
2017-2018,679,-1,254,0,110.9822447,Pocillopora_dead,born,none
2017-2018,680,-1,255,0,11.53102678,Pocillopora_dead,born,none
2017-2018,681,-1,263,0,123.0998208,Pocillopora,born,none
2017-2018,682,-1,265,0,6.447599176,Pocillopora_dead,born,none
2017-2018,683,-1,266,0,80.85049414,Pocillopora_dead,born,none
2017-2018,684,-1,270,0,63.15625574,Pocillopora,born,none
2017-2018,685,-1,271,0,18.95176463,Pocillopora,born,none
2017-2018,686,-1,272,0,10.84671922,Pocillopora,born,none
2017-2018,687,-1,273,0,49.5100965,Pocillopora_dead,born,none
2017-2018,688,-1,277,0,88.32455466,Pocillopora,born,none
2017-2018,689,-1,279,0,8.527183196,Pocillopora_dead,born,none
2017-2018,684,-1,280,0,154.3868958,Pocillopora,born,none
2017-2018,690,-1,283,0,141.3095116,Pocillopora,born,none
2017-2018,691,-1,291,0,34.03319234,Pocillopora,born,none
2017-2018,692,-1,294,0,214.4415497,Pocillopora_dead,born,none
2017-2018,693,-1,296,0,13.11293258,Pocillopora,born,none
2017-2018,694,-1,298,0,51.33195429,Pocillopora,born,none
2017-2018,695,-1,304,0,18.37410241,Pocillopora_dead,born,none
2017-2018,696,-1,306,0,12.85520635,Pocillopora_dead,born,none
2017-2018,697,-1,307,0,180.6083174,Pocillopora,born,none
2017-2018,223,-1,314,0,68.6751518,Pocillopora_dead,born,none
2017-2018,698,-1,315,0,54.0736281,Pocillopora,born,none
2017-2018,699,-1,319,0,6.678664067,Acropora,born,none
2017-2018,700,-1,324,0,64.21382198,Pocillopora_dead,born,none
2017-2018,701,-1,330,0,56.47314812,Pocillopora_dead,born,none
2017-2018,702,-1,348,0,40.14308129,Pocillopora_dead,born,none
2017-2018,703,-1,349,0,77.0112621,Pocillopora_dead,born,none
2017-2018,704,-1,350,0,23.77746602,Pocillopora_dead,born,none
2017-2018,705,-1,353,0,68.76402291,Pocillopora,born,none
2017-2018,191,-1,354,0,87.47139199,Pocillopora_dead,born,none
2017-2018,191,-1,359,0,78.33544167,Pocillopora_dead,born,none
2017-2018,251,-1,362,0,37.54360126,Pocillopora,born,none
2017-2018,706,-1,366,0,56.67755168,Pocillopora_dead,born,none
2017-2018,707,-1,384,0,63.16958641,Acropora,born,none
2017-2018,708,-1,386,0,13.02850502,Pocillopora_dead,born,none
2017-2018,289,-1,388,0,11.92205967,Pocillopora_dead,born,none
2017-2018,709,-1,391,0,11.97093879,Pocillopora_dead,born,none
2017-2018,710,-1,401,0,12.0198179,Pocillopora_dead,born,none
2017-2018,711,-1,409,0,2.052922687,Pocillopora,born,none
2017-2018,289,-1,413,0,52.20289119,Pocillopora_dead,born,none
2017-2018,712,-1,426,0,105.5077842,Pocillopora_dead,born,none
2017-2018,713,-1,427,0,1.635228461,Pocillopora_dead,born,none
2017-2018,714,-1,430,0,26.86573716,Pocillopora_dead,born,none
2017-2018,299,-1,437,0,50.85205029,Pocillopora_dead,born,none
2017-2018,715,-1,440,0,56.06878456,Pocillopora_dead,born,none
2017-2018,716,-1,445,0,176.4846978,Pocillopora,born,none
2017-2018,717,-1,449,0,90.60854224,Pocillopora,born,none
2017-2018,718,-1,454,0,54.68239521,Pocillopora,born,none
2017-2018,719,-1,455,0,42.63591598,Pocillopora_dead,born,none
2017-2018,720,-1,459,0,92.25265781,Pocillopora,born,none
2017-2018,721,-1,461,0,136.1416565,Pocillopora_dead,born,none
2017-2018,314,-1,462,0,11.06000989,Pocillopora_dead,born,none
2017-2018,722,-1,463,0,30.10508919,Pocillopora_dead,born,none
2017-2018,723,-1,466,0,71.8478505,Pocillopora,born,none
2017-2018,724,-1,469,0,22.07558422,Pocillopora_dead,born,none
2017-2018,725,-1,474,0,16.04123572,Pocillopora_dead,born,none
2017-2018,726,-1,480,0,11.35772811,Pocillopora_dead,born,none
2017-2018,727,-1,482,0,157.8750869,Pocillopora_dead,born,none
2017-2018,728,-1,483,0,36.62378526,Pocillopora_dead,born,none
2017-2018,729,-1,490,0,26.1814296,Pocillopora_dead,born,none
2017-2018,730,-1,495,0,57.03303613,Pocillopora,born,none
2017-2018,731,-1,497,0,50.33659784,Pocillopora_dead,born,none
2017-2018,732,-1,499,0,6.434268509,Pocillopora_dead,born,none
2017-2018,733,-1,500,0,30.28727497,Pocillopora_dead,born,none
2017-2018,734,-1,501,0,61.10777661,Pocillopora,born,none
2017-2018,289,-1,509,0,19.31613619,Pocillopora_dead,born,none
2017-2018,735,-1,511,0,19.15616819,Pocillopora_dead,born,none
2017-2018,736,-1,512,0,35.84616303,Pocillopora,born,none
2017-2018,737,-1,520,0,39.40545106,Pocillopora_dead,born,none
2017-2018,738,-1,523,0,26.23030871,Pocillopora_dead,born,none
2017-2018,383,-1,527,0,19.44499931,Pocillopora_dead,born,none
2017-2018,739,-1,530,0,134.9507836,Pocillopora_dead,born,none
2017-2018,740,-1,532,0,11.73543034,Pocillopora_dead,born,none
2017-2018,741,-1,544,0,47.84376315,Pocillopora_dead,born,none
2017-2018,742,-1,547,0,48.42586893,Pocillopora_dead,born,none
2017-2018,743,-1,550,0,22.30664911,Pocillopora,born,none
2017-2018,744,-1,557,0,31.21153453,Pocillopora_dead,born,none
2017-2018,745,-1,559,0,21.39572021,Pocillopora_dead,born,none
2017-2018,746,-1,562,0,16.52558328,Pocillopora,born,none
2017-2018,747,-1,563,0,52.13623785,Pocillopora_dead,born,none
2017-2018,748,-1,565,0,22.36441533,Pocillopora,born,none
2017-2018,749,-1,571,0,71.69676961,Pocillopora_dead,born,none
2017-2018,750,-1,580,0,31.98471321,Pocillopora_dead,born,none
2017-2018,751,-1,585,0,13.85944992,Pocillopora_dead,born,none
2017-2018,752,-1,587,0,130.2361711,Pocillopora_dead,born,none
2017-2018,753,-1,591,0,7.154124516,Pocillopora_dead,born,none
2017-2018,754,-1,596,0,64.24937042,Pocillopora_dead,born,none
2017-2018,755,-1,601,0,39.34768484,Acropora,born,none
2017-2018,756,-1,609,0,25.3104927,Pocillopora_dead,born,none
2017-2018,757,-1,610,0,34.07318434,Pocillopora_dead,born,none
2017-2018,749,-1,613,0,19.29391842,Pocillopora_dead,born,none
2017-2018,758,-1,621,0,11.59768012,Pocillopora_dead,born,none
2017-2018,759,-1,627,0,7.936190302,Pocillopora_dead,born,none
2017-2018,760,-1,628,0,73.10537673,Pocillopora,born,none
2017-2018,761,-1,629,0,63.27623174,Pocillopora,born,none
2017-2018,762,-1,633,0,48.74580493,Pocillopora_dead,born,none
2017-2018,763,-1,639,0,93.96787027,Pocillopora_dead,born,none
2017-2018,764,-1,641,0,79.2330399,Pocillopora_dead,born,none
