Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
947,-1,0,0.0,190.8640436868,Pocillopora,born,none
948,-1,1,0.0,3.2704569215999997,Pocillopora_dead,born,none
949,-1,10,0.0,13.615054358399998,Pocillopora,born,none
950,-1,11,0.0,23.533070457599997,Pocillopora_dead,born,none
951,-1,14,0.0,1.9818257975999996,Pocillopora_dead,born,none
952,-1,17,0.0,61.04112327719999,Pocillopora_dead,born,none
953,-1,18,0.0,19.5827495292,Pocillopora_dead,born,none
954,-1,20,0.0,19.8138144204,Pocillopora,born,none
955,-1,21,0.0,14.374902365999999,Pocillopora,born,none
956,-1,35,0.0,215.0280990396,Pocillopora_dead,born,none
957,-1,39,0.0,3.1993600319999995,Pocillopora_dead,born,none
958,-1,41,0.0,6.5675751768,Pocillopora,born,none
959,-1,42,0.0,2.399520024,Pocillopora,born,none
960,-1,43,0.0,115.96791404879997,Pocillopora_dead,born,none
961,-1,44,0.0,52.61614185959999,Pocillopora_dead,born,none
962,-1,45,0.0,7.7273431884,Pocillopora_dead,born,none
963,-1,51,0.0,72.42995628,Pocillopora_dead,born,none
964,-1,53,0.0,13.2817876884,Pocillopora_dead,born,none
965,-1,56,0.0,16.729986833999998,Pocillopora_dead,born,none
966,-1,60,0.0,100.14885611279999,Pocillopora_dead,born,none
967,-1,62,0.0,18.187473070799996,Pocillopora,born,none
968,-1,69,0.0,48.75913559879999,Pocillopora,born,none
969,-1,70,0.0,66.1956477732,Pocillopora_dead,born,none
970,-1,72,0.0,2.4795040247999993,Pocillopora_dead,born,none
971,-1,79,0.0,2.2262213556,Pocillopora,born,none
972,-1,97,0.0,78.8731119,Pocillopora_dead,born,none
973,-1,101,0.0,5.478904054799999,Pocillopora_dead,born,none
974,-1,105,0.0,7.571818742399999,Pocillopora_dead,born,none
975,-1,106,0.0,10.1490809904,Pocillopora_dead,born,none
976,-1,112,0.0,94.00341871799999,Pocillopora_dead,born,none
977,-1,114,0.0,90.0886462344,Pocillopora_dead,born,none
978,-1,117,0.0,17.103245504399997,Pocillopora_dead,born,none
979,-1,119,0.0,2.821657806,Pocillopora_dead,born,none
980,-1,122,0.0,1.844075574,Pocillopora_dead,born,none
981,-1,123,0.0,4.101401818799999,Pocillopora_dead,born,none
982,-1,131,0.0,54.566862768,Pocillopora_dead,born,none
983,-1,134,0.0,21.4801477704,Pocillopora_dead,born,none
984,-1,138,0.0,43.04027954159999,Pocillopora_dead,born,none
985,-1,149,0.0,7.1674551827999995,Pocillopora_dead,born,none
986,-1,151,0.0,13.579505913599998,Pocillopora_dead,born,none
987,-1,154,0.0,27.634472276399997,Pocillopora,born,none
988,-1,158,0.0,2.4928346915999997,Pocillopora_dead,born,none
989,-1,165,0.0,78.38876433959999,Pocillopora_dead,born,none
990,-1,169,0.0,1.1064453444,Pocillopora_dead,born,none
991,-1,170,0.0,5.0167742724,Pocillopora_dead,born,none
992,-1,171,0.0,9.3447974268,Pocillopora,born,none
993,-1,175,0.0,4.150280930399999,Pocillopora_dead,born,none
994,-1,177,0.0,95.5719938448,Pocillopora,born,none
995,-1,180,0.0,11.9487210084,Pocillopora,born,none
996,-1,189,0.0,13.66393347,Pocillopora_dead,born,none
997,-1,190,0.0,30.0028874112,Pocillopora_dead,born,none
998,-1,191,0.0,12.446399235599998,Pocillopora_dead,born,none
999,-1,192,0.0,21.8667371076,Pocillopora_dead,born,none
1000,-1,193,0.0,50.13219427919999,Pocillopora,born,none
1001,-1,194,0.0,172.89874839599997,Pocillopora_dead,born,none
1002,-1,201,0.0,6.0521227271999996,Pocillopora_dead,born,none
1003,-1,205,0.0,65.19584776319999,Pocillopora,born,none
1004,-1,209,0.0,3.8214578159999997,Pocillopora_dead,born,none
